eval_split,retriever,comparison_method,policy_name,recall@1,recall@5,recall@10,mrr,answer_f1,avg_reward,avg_policy_reward,avg_rank_improvement,recall10_improvement,mrr_improvement,answer_f1_improvement,reward_improvement,num_records
test,bm25,llm_rewrite,always_llm,0.03333333333333333,0.13,0.19333333333333333,0.07482936507936508,0.4413135708776156,0.3715616236833519,0.005042899216957696,0.33,0.05333333333333334,0.011793650793650794,0.04624516956387477,0.005042899216957696,300
test,bm25,rl_selected_rewrite,calibrated_recovery_policy,0.043333333333333335,0.12,0.17666666666666667,0.07753835978835978,0.41885393387790343,0.37011747969417036,0.0035987552277761633,0.24666666666666667,0.03666666666666667,0.014502645502645501,0.023785532564162683,0.0035987552277761633,300
test,bm25,conservative_contextual_bandit,conservative_linucb_policy,0.03666666666666667,0.12333333333333334,0.17666666666666667,0.07505820105820105,0.39768057405143736,0.3572431679683055,-0.00927555649808869,0.25333333333333335,0.03666666666666667,0.012022486772486773,0.0026121727376965972,-0.00927555649808869,300
test,bm25,rule_based_rewrite,failure_type_policy,0.03333333333333333,0.07666666666666666,0.1,0.04858333333333333,0.3297264427674259,0.23861966559309836,-0.12789905887329586,-0.26666666666666666,-0.04,-0.014452380952380951,-0.06534195854631487,-0.12789905887329586,300
test,bm25,label_retriever_policy,label_retriever_policy,0.03333333333333333,0.12333333333333334,0.19,0.07452380952380952,0.4338477699703831,0.37434578672179913,0.007827062255404948,0.29333333333333333,0.05,0.011488095238095236,0.0387793686566423,0.007827062255404948,300
test,bm25,observable_only_selector,observable_only_selector,0.04,0.13666666666666666,0.19333333333333333,0.07899206349206349,0.4367066209410355,0.3837610840694678,0.01724235960307361,0.35333333333333333,0.05333333333333334,0.015956349206349207,0.04163821962729471,0.01724235960307361,300
test,bm25,q_table_rewrite,offline_q_learning,0.03333333333333333,0.13,0.19333333333333333,0.07482936507936508,0.4413135708776156,0.3715616236833519,0.005042899216957696,0.33,0.05333333333333334,0.011793650793650794,0.04624516956387477,0.005042899216957696,300
test,bm25,oracle_best_rewrite,oracle_best_strategy,0.06333333333333334,0.16666666666666666,0.23,0.10774338624338625,0.5230030041096352,0.5274307145090301,0.16091199004263587,0.6666666666666666,0.09,0.04470767195767196,0.12793460279589444,0.16091199004263587,300
test,bm25,original_query,original_only,0.03666666666666667,0.09666666666666666,0.14,0.06303571428571428,0.39506840131374077,0.3665187244663942,0.0,0.0,0.0,0.0,0.0,0.0,300
test,bm25,recovery_ranker_policy,recovery_ranker_policy,0.03,0.12333333333333334,0.18666666666666668,0.07188492063492063,0.44897134745764117,0.3713645656974184,0.0048458412310242015,0.27666666666666667,0.04666666666666667,0.00884920634920635,0.05390294614390034,0.0048458412310242015,300
test,bm25,refined_label_rule_model_policy,refined_label_rule_model_policy,0.04,0.13666666666666666,0.21333333333333335,0.08378306878306879,0.4478944018113877,0.4067288910020898,0.040210166535695605,0.44,0.07333333333333333,0.020747354497354497,0.05282600049764688,0.040210166535695605,300
test,bm25,retriever_tuned_contextual_bandit,retriever_tuned_bandit_policy,0.03333333333333333,0.13333333333333333,0.2,0.0760515873015873,0.4448219257309449,0.3818378401820557,0.015319115715661476,0.36666666666666664,0.06,0.013015873015873015,0.04975352441720419,0.015319115715661476,300
test,bm25,reward_ranker_policy,reward_ranker_policy,0.03666666666666667,0.12,0.17666666666666667,0.07275661375661376,0.4239667315929257,0.3844705716733746,0.017951847206980405,0.22666666666666666,0.03666666666666667,0.00972089947089947,0.028898330279184918,0.017951847206980405,300
test,bm25,reward_selected_rewrite,reward_selected,0.06333333333333334,0.16666666666666666,0.23,0.10774338624338625,0.5230030041096352,0.5274307145090301,0.16091199004263587,0.6666666666666666,0.09,0.04470767195767196,0.12793460279589444,0.16091199004263587,300
test,bm25,state_recovery_contextual_bandit,state_recovery_bandit_policy,0.03333333333333333,0.13,0.19333333333333333,0.07482936507936508,0.4434760886465368,0.37530195867688865,0.008783234210494434,0.33,0.05333333333333334,0.011793650793650794,0.04840768733279603,0.008783234210494434,300
test,dense,llm_rewrite,always_llm,0.03666666666666667,0.15,0.21333333333333335,0.08279497354497355,0.4370642072399598,0.3934197460973283,-0.12714712380895804,-0.27,-0.03,-0.02120238095238095,-0.018472178075258295,-0.12714712380895804,300
test,dense,rl_selected_rewrite,calibrated_recovery_policy,0.06333333333333334,0.17666666666666667,0.24333333333333335,0.10846428571428571,0.4459725106999623,0.5022699133586391,-0.018296956547647156,0.02,0.0,0.004466931216931217,-0.00956387461525583,-0.018296956547647156,300
test,dense,conservative_contextual_bandit,conservative_linucb_policy,0.06,0.18333333333333332,0.25666666666666665,0.10927910052910053,0.4527500450066176,0.5029034354302511,-0.017663434476035206,0.07,0.013333333333333334,0.005281746031746032,-0.0027863403086005917,-0.017663434476035206,300
