retriever,strategy,recall@1,recall@5,recall@10,mrr,answer_f1,reward,num_records
bm25,expanded,0.02,0.051,0.078,0.03414801587301587,0.29647439384276997,0.13055610681867724,1000
bm25,keyword,0.033,0.081,0.123,0.05400436507936508,0.37739260006001785,0.29985410746595104,1000
bm25,llm,0.045,0.143,0.208,0.08781666666666667,0.46785407864900247,0.4065973202716243,1000
bm25,original,0.032,0.109,0.16,0.06346587301587302,0.4328065016150187,0.4037561873154459,1000
bm25,structured,0.037,0.091,0.122,0.05851468253968254,0.3656182722822581,0.25809507038919954,1000
dense,expanded,0.022,0.045,0.07,0.033388888888888885,0.08379170737522455,0.01583520009284103,1000
dense,keyword,0.011,0.038,0.051,0.02278293650793651,0.0757907561163705,0.06144247120841308,1000
dense,llm,0.02,0.042,0.06,0.029224206349206347,0.08087686827901341,0.035812484927899596,1000
dense,original,0.019,0.048,0.069,0.03111547619047619,0.08471183611810354,0.12253365615428986,1000
dense,structured,0.01,0.03,0.04,0.01838968253968254,0.07319109381539746,0.009818981155769194,1000
hybrid,expanded,0.007,0.041,0.076,0.022684920634920634,0.2822056286579363,0.11569017660721276,1000
hybrid,keyword,0.008,0.042,0.074,0.023767460317460316,0.3322960959080124,0.2131874030089959,1000
hybrid,llm,0.018,0.061,0.092,0.03628373015873016,0.39950330644986326,0.23065546591808642,1000
hybrid,original,0.001,0.014,0.033,0.006601984126984127,0.3585943725322186,0.21121817832960135,1000
hybrid,structured,0.015,0.055,0.077,0.03165992063492064,0.29264213260392236,0.16317961959765068,1000
