count,eval_split,num_records,policy_name,rate,retriever,selected_strategy
300,test,300,always_expanded,1.0,bm25,expanded
300,test,300,always_keyword,1.0,bm25,keyword
300,test,300,always_llm,1.0,bm25,llm
300,test,300,always_structured,1.0,bm25,structured
1,test,300,calibrated_recovery_policy,0.0033333333333333335,bm25,expanded
1,test,300,calibrated_recovery_policy,0.0033333333333333335,bm25,keyword
167,test,300,calibrated_recovery_policy,0.5566666666666666,bm25,llm
129,test,300,calibrated_recovery_policy,0.43,bm25,original
2,test,300,calibrated_recovery_policy,0.006666666666666667,bm25,structured
7,test,300,conservative_linucb_policy,0.023333333333333334,bm25,expanded
4,test,300,conservative_linucb_policy,0.013333333333333334,bm25,keyword
170,test,300,conservative_linucb_policy,0.5666666666666667,bm25,llm
101,test,300,conservative_linucb_policy,0.33666666666666667,bm25,original
18,test,300,conservative_linucb_policy,0.06,bm25,structured
19,test,300,contextual_bandit,0.06333333333333334,bm25,keyword
280,test,300,contextual_bandit,0.9333333333333333,bm25,llm
1,test,300,contextual_bandit,0.0033333333333333335,bm25,original
8,test,300,epsilon_greedy_bandit,0.02666666666666667,bm25,expanded
3,test,300,epsilon_greedy_bandit,0.01,bm25,keyword
277,test,300,epsilon_greedy_bandit,0.9233333333333333,bm25,llm
8,test,300,epsilon_greedy_bandit,0.02666666666666667,bm25,original
4,test,300,epsilon_greedy_bandit,0.013333333333333334,bm25,structured
1,test,300,failure_type_policy,0.0033333333333333335,bm25,expanded
158,test,300,failure_type_policy,0.5266666666666666,bm25,keyword
18,test,300,failure_type_policy,0.06,bm25,original
123,test,300,failure_type_policy,0.41,bm25,structured
261,test,300,label_retriever_policy,0.87,bm25,llm
39,test,300,label_retriever_policy,0.13,bm25,original
300,test,300,offline_q_learning,1.0,bm25,llm
2,test,300,oracle_best_strategy,0.006666666666666667,bm25,expanded
13,test,300,oracle_best_strategy,0.043333333333333335,bm25,keyword
29,test,300,oracle_best_strategy,0.09666666666666666,bm25,llm
236,test,300,oracle_best_strategy,0.7866666666666666,bm25,original
20,test,300,oracle_best_strategy,0.06666666666666667,bm25,structured
300,test,300,original_only,1.0,bm25,original
59,test,300,random_policy,0.19666666666666666,bm25,expanded
60,test,300,random_policy,0.2,bm25,keyword
59,test,300,random_policy,0.19666666666666666,bm25,llm
63,test,300,random_policy,0.21,bm25,original
59,test,300,random_policy,0.19666666666666666,bm25,structured
1,test,300,recovery_ranker_policy,0.0033333333333333335,bm25,expanded
1,test,300,recovery_ranker_policy,0.0033333333333333335,bm25,keyword
270,test,300,recovery_ranker_policy,0.9,bm25,llm
21,test,300,recovery_ranker_policy,0.07,bm25,original
7,test,300,recovery_ranker_policy,0.023333333333333334,bm25,structured
270,test,300,refined_label_rule_model_policy,0.9,bm25,llm
30,test,300,refined_label_rule_model_policy,0.1,bm25,original
3,test,300,retriever_tuned_bandit_policy,0.01,bm25,keyword
280,test,300,retriever_tuned_bandit_policy,0.9333333333333333,bm25,llm
7,test,300,retriever_tuned_bandit_policy,0.023333333333333334,bm25,original
