eval_split,harm_count,harm_rate,mean_recall10_delta,mean_reward_delta,num_records,policy_name,recovery_count,recovery_rate,retriever,rewrite_rate
all,86,0.086,-0.082,-0.27320008049676864,1000,always_expanded,4,0.004,bm25,1.0
all,50,0.05,-0.037,-0.10390207984949483,1000,always_keyword,13,0.013,bm25,1.0
all,35,0.035,0.048,0.00284113295617844,1000,always_llm,83,0.083,bm25,1.0
all,68,0.068,-0.038,-0.1456611169262463,1000,always_structured,30,0.03,bm25,1.0
all,17,0.017,0.045,0.02540733868169408,1000,calibrated_recovery_policy,62,0.062,bm25,0.541
all,15,0.015,0.053,0.028659654726288303,1000,conservative_linucb_policy,68,0.068,bm25,0.651
all,35,0.035,0.051,0.007084629671356623,1000,contextual_bandit,86,0.086,bm25,0.993
all,36,0.036,0.04,-0.012273060274385341,1000,epsilon_greedy_bandit,76,0.076,bm25,0.971
all,62,0.062,-0.052,-0.1433445172703848,1000,failure_type_policy,10,0.01,bm25,0.941
all,27,0.027,0.045,0.007727049710269574,1000,label_retriever_policy,72,0.072,bm25,0.855
all,6,0.02,0.05333333333333334,0.005042899216957696,300,offline_q_learning,22,0.07333333333333333,bm25,1.0
all,0,0.0,0.107,0.17703104737854694,1000,oracle_best_strategy,107,0.107,bm25,0.222
all,0,0.0,0.0,0.0,1000,original_only,0,0.0,bm25,0.0
all,43,0.043,-0.016,-0.09745109071287032,1000,random_policy,27,0.027,bm25,0.797
all,32,0.032,0.046,0.008663685379758904,1000,recovery_ranker_policy,78,0.078,bm25,0.906
all,0,0.0,0.083,0.06200466520680821,1000,refined_label_rule_model_policy,83,0.083,bm25,0.87
all,35,0.035,0.052,0.008386818807616147,1000,retriever_tuned_bandit_policy,87,0.087,bm25,0.979
all,14,0.014,0.041,0.0328684772634382,1000,reward_ranker_policy,55,0.055,bm25,0.53
all,0,0.0,0.107,0.17703104737854694,1000,reward_selected,107,0.107,bm25,0.222
all,34,0.034,0.052,0.009858229494739894,1000,state_recovery_bandit_policy,86,0.086,bm25,0.965
all,35,0.035,0.048,0.00284113295617844,1000,thompson_sampling,83,0.083,bm25,1.0
all,35,0.035,0.048,0.00284113295617844,1000,ucb_bandit,83,0.083,bm25,1.0
all,36,0.036,-0.01,-0.12760032164619553,1000,always_expanded,26,0.026,dense,1.0
