retriever,strategy,policy_recommended,recall@10,mrr,answer_f1,reward,num_records
bm25,expanded,False,0.09116022099447514,0.037698412698412696,0.26828380201737967,0.0812876082787065,362
bm25,expanded,True,0.07053291536050156,0.03213352739214808,0.3124696826214397,0.15851096022223432,638
bm25,keyword,False,0.07608695652173914,0.020153266620657927,0.30429627823173055,0.21582380624261935,276
bm25,keyword,True,0.1408839779005525,0.06690892747522581,0.40525804871279036,0.3318877582085471,724
bm25,llm,True,0.208,0.08781666666666667,0.46785407864900247,0.4065973202716243,1000
bm25,original,False,0.1434643995749203,0.056493851525732504,0.42408967255379953,0.37910153887292225,941
bm25,original,True,0.423728813559322,0.17466370729082595,0.571832537998192,0.7969769362038309,59
bm25,structured,False,0.15675675675675677,0.07992063492063492,0.4238579571677341,0.3128962602051734,370
bm25,structured,True,0.10158730158730159,0.04594293272864702,0.3314140129050739,0.22591024462426246,630
dense,expanded,False,0.20718232044198895,0.09588047005174076,0.3984775445764654,0.29149760768242716,362
dense,expanded,True,0.2304075235109718,0.10614146390008458,0.45911922136331507,0.4287143059976104,638
dense,keyword,False,0.11231884057971014,0.05077352196917414,0.33118986038467724,0.2808126090513218,276
dense,keyword,True,0.2058011049723757,0.09502762430939227,0.37327493521118693,0.39487267694665185,724
dense,llm,True,0.214,0.08629761904761905,0.43614608739440647,0.3959838008348025,1000
dense,original,False,0.2199787460148778,0.08675885161007371,0.4489347074131794,0.4831709027847403,941
dense,original,True,0.423728813559322,0.273728813559322,0.64079197739895,0.880989209038458,59
dense,structured,False,0.16486486486486487,0.07011154011154011,0.3197252587210241,0.2640334716853791,370
dense,structured,True,0.12698412698412698,0.06278533635676492,0.28021530151742435,0.23412891614132209,630
hybrid,expanded,False,0.1878453038674033,0.05439577304218188,0.40097973804980563,0.2526693393397323,362
hybrid,expanded,True,0.18495297805642633,0.05104431009603424,0.4429778760987856,0.3476405110087751,638
hybrid,keyword,False,0.11956521739130435,0.038172877846790895,0.3902161529155656,0.3112718100671686,276
hybrid,keyword,True,0.18646408839779005,0.057283719196702616,0.40779631246298875,0.37392439644162223,724
hybrid,llm,True,0.184,0.07175753968253969,0.454851925199081,0.3680666800546001,1000
hybrid,original,False,0.11370882040382571,0.023790968743147275,0.427510872281756,0.33470511817451326,941
hybrid,original,True,0.4067796610169492,0.15444578961528113,0.60622672424396,0.7871159179465697,59
hybrid,structured,False,0.16216216216216217,0.059031531531531525,0.34858311294484656,0.2702196918045834,370
hybrid,structured,True,0.1349206349206349,0.040336986646510455,0.30377649271712237,0.2426218448225518,630
