retriever,strategy,recall@1,recall@5,recall@10,mrr,answer_f1,reward,num_records
bm25,expanded,0.32452830188679244,0.5207547169811321,0.5735849056603773,0.4067789757412399,0.6988302615222094,1.0985404676883284,265
bm25,keyword,0.30566037735849055,0.5169811320754717,0.569811320754717,0.39278526504941597,0.6913864474746217,1.0861371760114518,265
bm25,llm,0.33584905660377357,0.5056603773584906,0.5622641509433962,0.4045477687930518,0.6800781551306009,1.0024639053580529,265
bm25,original,0.32452830188679244,0.4867924528301887,0.5433962264150943,0.3960032943995208,0.6650325232003008,1.073159418233873,265
bm25,prompt,0.30943396226415093,0.4679245283018868,0.5056603773584906,0.3743815513626834,0.6120161186699257,0.9821799670917764,265
bm25,structured,0.32075471698113206,0.4981132075471698,0.5584905660377358,0.39594639113507035,0.6762431002558029,0.973679651355814,265
dense,expanded,0.1660377358490566,0.3018867924528302,0.4377358490566038,0.2359718478586403,0.6242053343299231,0.8399753835471119,265
dense,keyword,0.16981132075471697,0.33962264150943394,0.44150943396226416,0.24390236597783765,0.6200437642140804,0.8477224980529391,265
dense,llm,0.13584905660377358,0.2830188679245283,0.4226415094339623,0.2110437256663672,0.612366285548457,0.7322333074942046,265
dense,original,0.16981132075471697,0.3018867924528302,0.3622641509433962,0.22915393830488168,0.571563859231268,0.7618683327303389,265
dense,prompt,0.15471698113207547,0.2943396226415094,0.3849056603773585,0.2198083258460617,0.5787474615646596,0.7675043087997003,265
dense,structured,0.13584905660377358,0.30566037735849055,0.4339622641509434,0.21830188679245283,0.6198891039409793,0.732152099140301,265
hybrid,expanded,0.2830188679245283,0.49433962264150944,0.7132075471698113,0.3866307277628032,0.7931921630371643,1.2752699359660213,265
hybrid,keyword,0.26037735849056604,0.47924528301886793,0.6867924528301886,0.36826145552560646,0.7895436929531212,1.2399350260642683,265
hybrid,llm,0.23018867924528302,0.41132075471698115,0.6566037735849056,0.32597933513027855,0.7444640501256256,1.089712258665688,265
hybrid,original,0.30566037735849055,0.5018867924528302,0.7018867924528301,0.4053893381251872,0.7932662728035949,1.300459880936089,265
hybrid,prompt,0.22641509433962265,0.4037735849056604,0.6452830188679245,0.3202695417789757,0.7440556253760308,1.160766357162409,265
hybrid,structured,0.22641509433962265,0.41509433962264153,0.6679245283018868,0.3247604073075771,0.7554371290380056,1.0871176360973198,265
